template_id,display_name,category,category_mask,category_depth,sellable_status,baseline_price,max_buy_price,price_floor,price_ceiling,liquidity_tier,enabled,source,confidence,notes
AdvancedVehiclesFabricator_Patent,Advanced Vehicles Fabricator,building/patents,134348800,2,validated,3500,2800,3500,3500,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
AluminiumBar,AluminiumBar,resources/refined,16908288,2,validated,150,120,150,150,medium,true,local-bootstrap,low,heuristic category and price; disabled until real price validation; observed_count=1
Ammo,Ammo,weapons/ranged,67239936,2,validated,650,520,650,650,medium,true,local-bootstrap,moderate,heuristic category and price; disabled until real price validation; observed_count=12; reviewed seed set for DASH artificial Exchange populator
AntiRadiationPill,Iodine Pill,consumables/medical,33619968,2,validated,800,640,800,800,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
ArmorPack_BeneGeserit,Bene Gesserit Armor Set,unknown,0,0,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Mentat,Mentat Armor Set,unknown,0,0,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Planetologist,Planetologist Stillsuit Set,armor/stillsuit,84017152,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Swordmaster,Swordmaster Armor Set,weapons/melee,67174400,2,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Trooper,Trooper Armor Set,unknown,0,0,validated,1,1,1,1,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AtreLMG3,House Vulcan GAU-92,weapons/ranged,67239936,2,validated,22000,17600,22000,22000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
AtreLMG4,Adept Vulcan GAU-92,weapons/ranged,67239936,2,validated,39000,31200,39000,39000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
AtreLMG5,Regis Vulcan GAU-92,weapons/ranged,67239936,2,validated,64000,51200,64000,64000,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
AtreSmg2,Standard Disruptor M11,weapons/ranged,67239936,2,validated,3300,2640,3300,3300,low,true,awakening-wiki-game-files-full-populate,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
