template_id,display_name,category,category_mask,category_depth,sellable_status,baseline_price,max_buy_price,liquidity_tier,enabled,source,confidence,notes
AdvancedVehiclesFabricator_Patent,Advanced Vehicles Fabricator,building/patents,134348800,2,known,3500,2800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
AluminiumBar,Aluminum Ingot,resources/refined,16908288,2,known,250,200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Ammo,Light Darts,weapons/ranged,67239936,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
AntiRadiationPill,Iodine Pill,consumables/medical,33619968,2,known,800,640,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
ArmorPack_BeneGeserit,Bene Gesserit Armor Set,unknown,0,0,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Mentat,Mentat Armor Set,unknown,0,0,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Planetologist,Planetologist Stillsuit Set,armor/stillsuit,84017152,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Swordmaster,Swordmaster Armor Set,weapons/melee,67174400,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
ArmorPack_Trooper,Trooper Armor Set,unknown,0,0,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AtreLMG3,House Vulcan GAU-92,weapons/ranged,67239936,2,known,22000,17600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
AtreLMG4,Adept Vulcan GAU-92,weapons/ranged,67239936,2,known,39000,31200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
AtreLMG5,Regis Vulcan GAU-92,weapons/ranged,67239936,2,known,64000,51200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
AtreSmg2,Standard Disruptor M11,weapons/ranged,67239936,2,known,3300,2640,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
AtreSmg3,Artisan Disruptor M11,weapons/ranged,67239936,2,known,6000,4800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3
AtreSmg4,House Disruptor M11,weapons/ranged,67239936,2,known,18000,14400,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
AtreSmg5,Adept Disruptor M11,weapons/ranged,67239936,2,known,31000,24800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=5
AtreSmg6,Regis Disruptor M11,weapons/ranged,67239936,2,known,49000,39200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
Atre_BasicLighting_Patent,Atreides Basic Lights Set,building/patents,134348800,2,known,5000,4000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_BedroomSet_Patent,Atreides Bedroom Furniture Set,building/patents,134348800,2,known,15000,12000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_DiningRoomSet_Patent,Atreides Dining Room Furniture Set,building/patents,134348800,2,known,15000,12000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
Atre_OfficeSet_Patent,Atreides Office Furniture Set,building/patents,134348800,2,known,10000,8000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AtreidesSet,Atreides Stronghold,consumables/medical,33619968,2,known,80000,64000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price
AzuriteOre,Copper Ore,resources/raw,16842752,2,known,5,4,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=1
Basalt,Basalt Stone,resources/raw,16842752,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
BasicBuildingTool,Construction Tool,building/placeables,134283264,2,known,70,56,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BasicLighting_Patent,Basic Lighting,building/patents,134348800,2,known,2500,2000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BauxiteOre,Aluminum Ore,resources/raw,16842752,2,known,40,32,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Beta_Plaque_Patent,Memorial Plaque,building/patents,134348800,2,known,2500,2000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=1
Binoculars_1,Binoculars,tools/utility,50462720,2,known,50,40,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
BlankSinkChart,Blank Sinkchart,unknown,0,0,known,1500,1200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
Bloodsack_01,Small Blood Sack,tools/utility,50462720,2,known,100,80,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=0
Bloodsack_02,Medium Blood Sack,tools/utility,50462720,2,known,2700,2160,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
Bloodsack_03,Large Blood Sack,tools/utility,50462720,2,known,14000,11200,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=4
Bloodsack_T6,Massive Blood Sack,tools/utility,50462720,2,known,65000,52000,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=6
Bloodsack_Unique_Durable_02,Scipio's Bloodbag,tools/utility,50462720,2,known,17000,13600,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2; unique_schematic=yes
Bloodsack_Unique_Durable_02_Schematic,Scipio's Bloodbag Schematic,schematics/weapons,117506048,2,known,1,1,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=2
Bloodsack_Unique_Durable_03,Glutton's Bloodbag,tools/utility,50462720,2,known,36000,28800,low,false,awakening-wiki-game-files,moderate,imported from awakening.wiki API game-file data; price_source=market_price; tier=3; unique_schematic=yes
